hue,name,hex,red,green,blue,sat,light
90.5,Lawn green,#7cfc00,124,252,0,100.0,49.4
91.1,Camouflage green,#78866b,120,134,107,11.2,47.3
92.5,Sap green,#507d2a,80,125,42,49.7,32.7
92.9,Asparagus,#87a96b,135,169,107,26.5,54.1
95.2,Laurel green,#a9ba9d,169,186,157,17.4,67.3
96.0,Bright green,#66ff00,102,255,0,100.0,50.0
96.1,Pistachio,#93c572,147,197,114,41.7,61.0
97.7,Dollar bill,#85bb65,133,187,101,38.7,56.5
100.0,Tea green,#d0f0c0,208,240,192,61.5,84.7
100.3,Napier green,#2a8000,42,128,0,100.0,25.1
100.6,Kelly green,#4cbb17,76,187,23,78.1,41.2
105.2,Harlequin,#3fff00,63,255,0,100.0,50.0
105.7,Lincoln green,#195905,25,89,5,89.4,18.4
105.8,Fern green,#4f7942,79,121,66,29.4,36.7
110.4,Mantis,#74c365,116,195,101,43.9,58.0
110.6,Neon green,#39ff14,57,255,20,100.0,53.9
112.9,Granny Smith Apple,#a8e4a0,168,228,160,55.7,76.1
114.8,India green,#138808,19,136,8,88.9,28.2
115.0,Myrtle,#21421e,33,66,30,37.5,18.8
117.0,Gray asparagus,#465945,70,89,69,12.7,31.0
120.0,Dark sea green,#8fbc8f,143,188,143,25.1,64.9
120.0,Moss green,#addfad,173,223,173,43.9,77.6
120.0,Pastel green,#77dd77,119,221,119,60.0,66.7
120.0,Forest green,#228b22,34,139,34,60.7,33.9
120.0,Lime green,#32cd32,50,205,50,60.8,50.0
120.0,Light green,#90ee90,144,238,144,73.4,74.9
120.0,Pale green,#98fb98,152,251,152,92.5,79.0
120.0,Pakistan green,#006600,0,102,0,100.0,20.0
120.0,Ao,#008000,0,128,0,100.0,25.1
120.0,Office green,#008000,0,128,0,100.0,25.1
120.0,Islamic green,#009000,0,144,0,100.0,28.2
120.0,Electric green,#00ff00,0,255,0,100.0,50.0
120.0,Green,#00ff00,0,255,0,100.0,50.0
120.0,Mint green,#98ff98,152,255,152,100.0,79.8
120.0,Honeydew,#f0fff0,240,255,240,100.0,97.1
121.8,Screamin Green,#76ff7a,118,255,122,100.0,73.1
123.4,Celadon,#ace1af,172,225,175,46.9,77.8
125.6,Fern,#71bc78,113,188,120,35.9,59.0
128.8,Hunter green,#355e3b,53,94,59,27.9,28.8
134.4,Eton blue,#96c8a2,150,200,162,31.3,68.6
135.0,Ash grey,#b2beb5,178,190,181,8.5,72.2
135.8,Xanadu,#738678,115,134,120,7.6,48.8
136.6,Cal Poly Pomona green,#1e4d2b,30,77,43,43.9,21.0
138.1,Dark pastel green,#03c03c,3,192,60,96.9,38.2
139.9,North Texas Green,#059033,5,144,51,93.3,29.2
140.0,Cambridge Blue,#a3c1ad,163,193,173,19.5,69.8
140.0,Emerald,#50c878,80,200,120,52.2,54.9
140.0,Paris Green,#50c878,80,200,120,52.2,54.9
140.3,Malachite,#0bda51,11,218,81,90.4,44.9
141.1,UFO Green,#3cd070,60,208,112,61.2,52.5
141.4,La Salle Green,#087830,8,120,48,87.5,25.1
142.2,Turquoise green,#a0d6b4,160,214,180,39.7,73.3
142.5,Feldgrau,#4d5d53,77,93,83,9.4,33.3
146.5,Sea green,#2e8b57,46,139,87,50.3,36.3
146.7,Medium sea green,#3cb371,60,179,113,49.8,46.9
148.7,UP Forest green,#014421,1,68,33,97.1,13.5
149.9,Guppie green,#00ff7f,0,255,127,100.0,50.0
149.9,Spring green,#00ff7f,0,255,127,100.0,50.0
150.0,Mint cream,#f5fffa,245,255,250,100.0,98.0
150.3,Dark spring green,#177245,23,114,69,66.4,26.9
150.9,Phthalo green,#123524,18,53,36,49.3,13.9
153.4,Magic mint,#aaf0d1,170,240,209,70.0,80.4
153.6,British racing green,#004225,0,66,37,100.0,12.9
153.6,Cadmium green,#006b3c,0,107,60,100.0,21.0
154.3,Medium aquamarine,#66ddaa,102,221,170,63.6,63.3
155.4,Dartmouth green,#00693e,0,105,62,100.0,20.6
156.5,Shamrock green,#009e60,0,158,96,100.0,31.0
157.0,Medium spring green,#00fa9a,0,250,154,100.0,49.0
158.0,Dark green,#013220,1,50,32,96.1,10.0
158.1,Mint,#3eb489,62,180,137,48.8,47.5
158.2,Jade,#00a86b,0,168,107,100.0,32.9
159.8,Aquamarine,#7fffd4,127,255,212,100.0,74.9
160.7,Shamrock,#45cea2,69,206,162,58.3,53.9
160.8,Medium jungle green,#1c352d,28,53,45,30.9,15.9
160.9,Viridian,#40826d,64,130,109,34.0,38.0
161.3,Mountain Meadow,#30ba8f,48,186,143,59.0,45.9
162.0,Dark jungle green,#1a2421,26,36,33,16.1,12.2
162.0,Pearl Aqua,#88d8c0,136,216,192,50.6,69.0
162.5,Hooker green,#49796b,73,121,107,24.7,38.0
163.4,Jungle green,#29ab87,41,171,135,61.3,41.6
164.0,Sacramento State green,#00563f,0,86,63,100.0,16.9
164.2,Bottle green,#006a4e,0,106,78,100.0,20.8
165.0,Caribbean green,#00cc99,0,204,153,100.0,40.0
166.7,MSU Green,#18453b,24,69,59,48.4,18.2
168.2,Tropical rain forest,#00755e,0,117,94,100.0,22.9
169.2,Pale robin egg blue,#96ded1,150,222,209,52.2,72.9
170.1,Teal green,#006d5b,0,109,91,100.0,21.4
175.0,Pine green,#01796f,1,121,111,98.4,23.9
175.3,Turquoise,#30d5c8,48,213,200,66.3,51.2
176.2,Turquoise blue,#00ffef,0,255,239,100.0,50.0
176.7,Light sea green,#20b2aa,32,178,170,69.5,41.2
177.3,Verdigris,#43b3ae,67,179,174,45.5,48.2
177.3,Bright turquoise,#08e8de,8,232,222,93.3,47.1
177.8,Medium turquoise,#48d1cc,72,209,204,59.8,55.1
178.3,Tiffany Blue,#0abab5,10,186,181,89.8,38.4
178.4,Deep jungle green,#004b49,0,75,73,100.0,14.7
179.0,Robin's Egg Blue,#1fcecb,31,206,203,73.8,46.5
180.0,Dark slate gray,#2f4f4f,47,79,79,25.4,24.7
180.0,Pale blue,#afeeee,175,238,238,64.9,81.0
180.0,Rich black,#004040,0,64,64,100.0,12.5
180.0,Warm black,#004242,0,66,66,100.0,12.9
180.0,Skobeloff,#007474,0,116,116,100.0,22.7
180.0,Stormcloud,#008080,0,128,128,100.0,25.1
180.0,Teal,#008080,0,128,128,100.0,25.1
180.0,Dark cyan,#008b8b,0,139,139,100.0,27.3
180.0,Aqua,#00ffff,0,255,255,100.0,50.0
180.0,Cyan,#00ffff,0,255,255,100.0,50.0
180.0,Electric cyan,#00ffff,0,255,255,100.0,50.0
180.0,Waterspout,#00ffff,0,255,255,100.0,50.0
180.0,Celeste,#b2ffff,178,255,255,100.0,84.9
180.0,Light cyan,#e0ffff,224,255,255,100.0,93.9
180.0,Azure mist/web,#f0ffff,240,255,255,100.0,97.1
180.9,Dark turquoise,#00ced1,0,206,209,100.0,41.0
181.8,Cadet blue,#5f9ea0,95,158,160,25.5,50.0
182.5,Bubbles,#e7feff,231,254,255,100.0,95.3
182.8,Electric blue,#7df9ff,125,249,255,100.0,74.5
183.3,AuroMetalSaurus,#6e7f80,110,127,128,7.6,46.7
186.7,Powder blue,#b0e0e6,176,224,230,51.9,79.6
187.2,Midnight green,#004953,0,73,83,100.0,16.3
188.2,Blizzard Blue,#ace5ee,172,229,238,66.0,80.4
190.9,Outer Space,#414a4c,65,74,76,7.8,27.6
190.9,Bondi blue,#0095b6,0,149,182,100.0,35.7
191.1,Pacific Blue,#1ca9c9,28,169,201,75.5,44.9
191.8,Blue green,#0d98ba,13,152,186,86.9,39.0
191.9,Ball Blue,#21abcd,33,171,205,72.3,46.7
193.2,Non-photo blue,#a4dded,164,221,237,67.0,78.6
193.6,Bright cerulean,#1dacd6,29,172,214,76.1,47.6
193.9,Teal blue,#367588,54,117,136,43.2,37.3
194.7,Light blue,#add8e6,173,216,230,53.3,79.0
